Set_value	Mon_value	Metex	Std
832.000000	831.999960	0.001660	0.000992
832.100000	832.099970	0.001650	0.000679
832.200000	832.199970	0.002160	0.001350
832.300000	832.299970	0.002970	0.001738
832.400000	832.399950	0.001650	0.000677
832.500000	832.499970	0.001410	0.000179
832.600000	832.599960	0.001620	0.000494
832.700000	832.699980	0.001410	0.000223
832.800000	832.799970	0.001940	0.001175
832.900000	832.899950	0.001310	0.000074
833.000000	832.999970	0.002710	0.001156
833.100000	833.099980	0.002850	0.001593
833.200000	833.199960	0.002070	0.001267
833.300000	833.299960	0.001460	0.000572
833.400000	833.399970	0.003190	0.001291
833.500000	833.499940	0.002070	0.000736
833.600000	833.599980	0.001920	0.000676
833.700000	833.699980	0.001480	0.000457
833.800000	833.799970	0.001590	0.000486
833.900000	833.899970	0.001610	0.000500
834.000000	833.999970	0.001740	0.000467
834.100000	834.099980	0.001690	0.000687
834.200000	834.199980	0.001240	0.000052
834.300000	834.299960	0.001220	0.000042
834.400000	834.399980	0.001300	0.000183
834.500000	834.499960	0.002140	0.000786
834.600000	834.599970	0.001850	0.001161
834.700000	834.699980	0.003890	0.000808
834.800000	834.799950	0.002360	0.001977
834.900000	834.899970	0.001510	0.000370
835.000000	834.999970	0.001710	0.000524
835.100000	835.099960	0.001260	0.000052
835.200000	835.199950	0.001220	0.000042
835.300000	835.299960	0.001540	0.000534
835.400000	835.399970	0.002110	0.000674
835.500000	835.499980	0.001390	0.000338
835.600000	835.599930	0.001760	0.000785
835.700000	835.699960	0.001350	0.000165
835.800000	835.799980	0.001970	0.001034
835.900000	835.899970	0.001440	0.000448
836.000000	835.999960	0.002060	0.001047
836.100000	836.099970	0.001240	0.000052
836.200000	836.199970	0.001260	0.000070
836.300000	836.299930	0.001460	0.000288
836.400000	836.399970	0.001280	0.000042
836.500000	836.499980	0.001270	0.000048
836.600000	836.599950	0.001240	0.000052
836.700000	836.699970	0.001390	0.000325
836.800000	836.799940	0.001360	0.000284
836.900000	836.899980	0.002360	0.001367
837.000000	836.999950	0.001570	0.000556
837.100000	837.099970	0.001700	0.000527
837.200000	837.199970	0.001300	0.000133
837.300000	837.299950	0.004600	0.001997
837.400000	837.399970	0.001650	0.000649
837.500000	837.499980	0.001900	0.000814
837.600000	837.599940	0.001500	0.000529
837.700000	837.699950	0.001310	0.000137
837.800000	837.799970	0.001720	0.000459
837.900000	837.899960	0.001620	0.000587
838.000000	837.999970	0.001700	0.000575
838.100000	838.099930	0.001290	0.000057
838.200000	838.199960	0.001870	0.000544
838.300000	838.299940	0.002750	0.001340
838.400000	838.399950	0.001300	0.000249
838.500000	838.499970	0.001460	0.000619
838.600000	838.599950	0.001270	0.000116
838.700000	838.699960	0.001440	0.000458
838.800000	838.799970	0.002030	0.000878
838.900000	838.899980	0.001300	0.000163
839.000000	838.999950	0.001240	0.000070
839.100000	839.099960	0.003100	0.001165
839.200000	839.199980	0.002120	0.001036
839.300000	839.299960	0.002720	0.001679
839.400000	839.399980	0.002010	0.001012
839.500000	839.499950	0.001820	0.001303
839.600000	839.599970	0.001740	0.000857
839.700000	839.699950	0.001420	0.000270
839.800000	839.799960	0.002110	0.001407
839.900000	839.899960	0.001270	0.000082
840.000000	839.999970	0.001470	0.000495
840.100000	840.099970	0.001960	0.001196
840.200000	840.199950	0.002410	0.001038
840.300000	840.299960	0.001980	0.000952
840.400000	840.399970	0.002020	0.000648
840.500000	840.499950	0.001280	0.000193
840.600000	840.599970	0.001260	0.000052
840.700000	840.699950	0.002380	0.001394
840.800000	840.799970	0.001320	0.000169
840.900000	840.899980	0.001260	0.000052
841.000000	840.999940	0.001280	0.000042
841.100000	841.099980	0.001480	0.000297
841.200000	841.199990	0.001550	0.001002
841.300000	841.299960	0.001440	0.000448
841.400000	841.399970	0.001930	0.000845
841.500000	841.499970	0.002100	0.001516
841.600000	841.599960	0.002040	0.000629
841.700000	841.699960	0.001310	0.000120
841.800000	841.799970	0.001610	0.000692
841.900000	841.899950	0.004280	0.002497
842.000000	841.999960	0.002100	0.001145
842.100000	842.099970	0.001270	0.000134
842.200000	842.199980	0.001820	0.000689
842.300000	842.299960	0.001910	0.001003
842.400000	842.399970	0.001940	0.000909
842.500000	842.499950	0.001400	0.000353
842.600000	842.599980	0.002760	0.001817
842.700000	842.699930	0.001240	0.000052
842.800000	842.799960	0.001610	0.000517
842.900000	842.899980	0.001380	0.000336
843.000000	842.999980	0.001580	0.000505
843.100000	843.099960	0.001320	0.000169
843.200000	843.199970	0.002320	0.000885
843.300000	843.299960	0.001320	0.000204
843.400000	843.399980	0.003230	0.001288
843.500000	843.499950	0.001670	0.000386
843.600000	843.599950	0.001260	0.000126
843.700000	843.699960	0.001250	0.000053
843.800000	843.799950	0.001290	0.000099
843.900000	843.899950	0.001350	0.000268
844.000000	843.999980	0.002640	0.001620
844.100000	844.099950	0.001340	0.000237
844.200000	844.199950	0.001460	0.000425
844.300000	844.299970	0.001660	0.000867
844.400000	844.399970	0.001290	0.000088
844.500000	844.499940	0.001390	0.000277
844.600000	844.599970	0.001970	0.001106
844.700000	844.699980	0.001790	0.001309
844.800000	844.799970	0.001720	0.000851
844.900000	844.899960	0.001540	0.000422
845.000000	844.999980	0.001340	0.000201
845.100000	845.099940	0.001310	0.000213
845.200000	845.199960	0.001340	0.000378
845.300000	845.299970	0.001250	0.000071
845.400000	845.399980	0.001700	0.000856
845.500000	845.499960	0.001410	0.000247
845.600000	845.599970	0.001480	0.000434
845.700000	845.699940	0.001300	0.000149
845.800000	845.799970	0.001580	0.000671
845.900000	845.899960	0.002160	0.000657
846.000000	845.999980	0.001630	0.000442
714.000000	714.000040	0.001400	0.000216
714.100000	714.099960	0.001480	0.000539
714.200000	714.199990	0.001410	0.000348
714.300000	714.299950	0.001220	0.000042
714.400000	714.399960	0.002060	0.000964
714.500000	714.499990	0.001290	0.000152
714.600000	714.599960	0.001850	0.000628
714.700000	714.700000	0.001750	0.000445
714.800000	714.799940	0.001250	0.000097
714.900000	714.899980	0.001300	0.000094
715.000000	714.999980	0.001820	0.001063
715.100000	715.099970	0.002090	0.000971
715.200000	715.199990	0.001470	0.000392
715.300000	715.299950	0.001560	0.000360
715.400000	715.399990	0.002750	0.001383
715.500000	715.499950	0.001780	0.000529
715.600000	715.599970	0.001540	0.000566
715.700000	715.699950	0.001580	0.000505
715.800000	715.799980	0.002300	0.000945
715.900000	715.899980	0.001390	0.000173
716.000000	715.999980	0.001520	0.000581
716.100000	716.099980	0.001220	0.000042
716.200000	716.199970	0.001240	0.000097
716.300000	716.299970	0.001440	0.000472
716.400000	716.399980	0.001340	0.000280
716.500000	716.499980	0.002180	0.001258
716.600000	716.599980	0.001920	0.000349
716.700000	716.699960	0.002680	0.001278
716.800000	716.799990	0.001890	0.000809
716.900000	716.899950	0.002010	0.001301
717.000000	716.999980	0.001360	0.000212
717.100000	717.099970	0.003210	0.001432
717.200000	717.199970	0.002200	0.000882
717.300000	717.299980	0.001870	0.000859
717.400000	717.399990	0.001350	0.000445
717.500000	717.499950	0.001310	0.000129
717.600000	717.599990	0.001370	0.000231
717.700000	717.699960	0.001450	0.000158
717.800000	717.799970	0.001780	0.000421
717.900000	717.899990	0.002250	0.000912
718.000000	717.999950	0.002120	0.000744
718.100000	718.099970	0.001280	0.000155
718.200000	718.199990	0.001340	0.000250
718.300000	718.299980	0.002250	0.001022
718.400000	718.399990	0.001240	0.000052
718.500000	718.499970	0.001440	0.000395
718.600000	718.599980	0.001600	0.000368
718.700000	718.699970	0.001220	0.000042
718.800000	718.799980	0.001390	0.000300
718.900000	718.899960	0.002240	0.001238
719.000000	718.999980	0.001650	0.000629
719.100000	719.099980	0.001450	0.000381
719.200000	719.199950	0.002230	0.001168
719.300000	719.299980	0.002360	0.001173
719.400000	719.399980	0.001740	0.000481
719.500000	719.499970	0.001370	0.000503
719.600000	719.599970	0.001610	0.000553
719.700000	719.699960	0.001520	0.000541
719.800000	719.799980	0.001260	0.000052
719.900000	719.899950	0.001850	0.001124
720.000000	719.999970	0.002440	0.001152
720.100000	720.099950	0.002190	0.001201
720.200000	720.199980	0.001540	0.000936
720.300000	720.299950	0.003170	0.001086
720.400000	720.399970	0.002310	0.001239
720.500000	720.499970	0.001410	0.000318
720.600000	720.599960	0.001360	0.000237
720.700000	720.699980	0.001320	0.000103
720.800000	720.799980	0.002030	0.000890
720.900000	720.899950	0.001330	0.000221
721.000000	720.999980	0.001380	0.000358
721.100000	721.099990	0.001290	0.000110
721.200000	721.199960	0.001700	0.000742
721.300000	721.299980	0.001810	0.000526
721.400000	721.399990	0.001340	0.000207
721.500000	721.499960	0.001860	0.001114
721.600000	721.599980	0.001270	0.000095
721.700000	721.699980	0.001340	0.000135
721.800000	721.799960	0.001410	0.000345
721.900000	721.899990	0.001570	0.000629
722.000000	721.999990	0.001430	0.000323
722.100000	722.099950	0.001380	0.000405
722.200000	722.199970	0.001510	0.000412
722.300000	722.299930	0.001810	0.000943
722.400000	722.399980	0.002410	0.000772
722.500000	722.499950	0.002120	0.000851
722.600000	722.599970	0.001620	0.000760
722.700000	722.699980	0.001390	0.000233
722.800000	722.799960	0.001480	0.000442
722.900000	722.900000	0.001560	0.000811
723.000000	722.999980	0.001450	0.000414
723.100000	723.099960	0.002350	0.001116
723.200000	723.199970	0.001210	0.000032
723.300000	723.299970	0.001400	0.000397
723.400000	723.399980	0.001850	0.000654
723.500000	723.499960	0.002360	0.000930
723.600000	723.599950	0.001610	0.000431
723.700000	723.699980	0.001360	0.000299
723.800000	723.799960	0.001230	0.000048
723.900000	723.899970	0.001970	0.000803
724.000000	723.999970	0.003610	0.002237
724.100000	724.099930	0.001370	0.000435
724.200000	724.199980	0.001370	0.000211
724.300000	724.299990	0.001840	0.000706
724.400000	724.399940	0.001360	0.000280
724.500000	724.499980	0.001600	0.000650
724.600000	724.599980	0.003400	0.002153
724.700000	724.699960	0.001460	0.000350
724.800000	724.799980	0.001220	0.000042
724.900000	724.899980	0.001570	0.000479
725.000000	724.999980	0.001430	0.000350
725.100000	725.099960	0.001210	0.000032
725.200000	725.199980	0.001340	0.000201
725.300000	725.299990	0.001320	0.000204
725.400000	725.399980	0.001320	0.000278
725.500000	725.499970	0.001420	0.000365
725.600000	725.599960	0.001230	0.000067
725.700000	725.699970	0.001960	0.001227
725.800000	725.799970	0.001940	0.000488
725.900000	725.899980	0.001340	0.000151
726.000000	725.999980	0.001300	0.000149
726.100000	726.099950	0.001410	0.000260
726.200000	726.199970	0.001650	0.000613
726.300000	726.299980	0.001290	0.000218
726.400000	726.399990	0.001580	0.000388
726.500000	726.499950	0.002220	0.001118
726.600000	726.599970	0.001580	0.000666
726.700000	726.699990	0.001460	0.000303
726.800000	726.799970	0.001470	0.000514
726.900000	726.899960	0.001680	0.000836
727.000000	726.999990	0.001590	0.000563
727.100000	727.099970	0.001510	0.000723
727.200000	727.199960	0.001600	0.000383
727.300000	727.299980	0.001200	0.000000
727.400000	727.400000	0.001230	0.000048
727.500000	727.499960	0.002670	0.001644
727.600000	727.599970	0.001350	0.000178
727.700000	727.699970	0.001980	0.000707
727.800000	727.799980	0.002310	0.001257
727.900000	727.899990	0.001710	0.000697
728.000000	727.999950	0.002710	0.000708
728.100000	728.099970	0.001570	0.000523
728.200000	728.199960	0.001710	0.000580
728.300000	728.299990	0.002020	0.000879
728.400000	728.399980	0.001700	0.000600
728.500000	728.499970	0.001280	0.000123
728.600000	728.599950	0.001220	0.000042
728.700000	728.699970	0.001450	0.000472
728.800000	728.799980	0.001380	0.000329
728.900000	728.899940	0.001300	0.000156
729.000000	728.999960	0.001960	0.000667
729.100000	729.099980	0.001430	0.000340
729.200000	729.199980	0.001890	0.001362
729.300000	729.299980	0.001420	0.000494
729.400000	729.399990	0.001410	0.000375
729.500000	729.499980	0.001800	0.000912
729.600000	729.599960	0.001530	0.000604
729.700000	729.699990	0.001440	0.000657
729.800000	729.799980	0.001520	0.000543
729.900000	729.899990	0.001600	0.000643
730.000000	729.999970	0.001360	0.000222
730.100000	730.099980	0.001560	0.000622
730.200000	730.200000	0.001420	0.000349
730.300000	730.299970	0.001590	0.000872
730.400000	730.399980	0.001250	0.000127
730.500000	730.499990	0.001230	0.000048
730.600000	730.599960	0.001430	0.000521
730.700000	730.699960	0.001560	0.000677
730.800000	730.799990	0.001590	0.000202
730.900000	730.899960	0.001370	0.000283
731.000000	730.999990	0.001430	0.000432
731.100000	731.099970	0.001250	0.000053
731.200000	731.199970	0.001210	0.000057
731.300000	731.299980	0.001720	0.000509
731.400000	731.399960	0.001220	0.000042
731.500000	731.499970	0.001430	0.000556
731.600000	731.599930	0.001210	0.000032
731.700000	731.699970	0.001320	0.000326
731.800000	731.799990	0.001330	0.000200
731.900000	731.899970	0.003270	0.001469
732.000000	731.999980	0.003090	0.001436
732.100000	732.099990	0.001440	0.000474
732.200000	732.199970	0.001330	0.000275
732.300000	732.299980	0.001820	0.000598
732.400000	732.399980	0.002010	0.000817
732.500000	732.499970	0.001410	0.000264
732.600000	732.599980	0.002930	0.000893
732.700000	732.699960	0.003490	0.001969
732.800000	732.799960	0.001870	0.000695
732.900000	732.900010	0.001660	0.001096
733.000000	732.999950	0.001930	0.001272
733.100000	733.099970	0.001320	0.000244
733.200000	733.199980	0.001560	0.000372
733.300000	733.299970	0.004160	0.001506
733.400000	733.399970	0.001490	0.000300
733.500000	733.499980	0.001470	0.000267
733.600000	733.599960	0.001250	0.000053
733.700000	733.699960	0.001780	0.000982
733.800000	733.799980	0.001290	0.000137
733.900000	733.899960	0.001800	0.000869
734.000000	733.999980	0.001450	0.000554
734.100000	734.099990	0.001260	0.000097
734.200000	734.199950	0.001260	0.000126
734.300000	734.299960	0.001550	0.000433
734.400000	734.399980	0.001620	0.000505
734.500000	734.499990	0.001400	0.000330
734.600000	734.599940	0.001300	0.000283
734.700000	734.699970	0.001470	0.000432
734.800000	734.799990	0.001940	0.000806
734.900000	734.899950	0.001860	0.001033
735.000000	734.999980	0.001330	0.000313
735.100000	735.099980	0.001800	0.000787
735.200000	735.199960	0.001460	0.000366
735.300000	735.299970	0.003200	0.001440
735.400000	735.399970	0.001330	0.000267
735.500000	735.499980	0.001740	0.000828
735.600000	735.599970	0.001880	0.000831
735.700000	735.699970	0.001830	0.000732
735.800000	735.799990	0.001510	0.000477
735.900000	735.899960	0.001490	0.000470
736.000000	735.999990	0.001360	0.000303
736.100000	736.099950	0.001450	0.000756
736.200000	736.199990	0.002760	0.001908
736.300000	736.299990	0.001750	0.000881
736.400000	736.399970	0.001580	0.000831
736.500000	736.499980	0.002830	0.001067
736.600000	736.599980	0.001350	0.000272
736.700000	736.699970	0.001370	0.000365
736.800000	736.799990	0.001520	0.000439
736.900000	736.899990	0.001430	0.000377
737.000000	736.999970	0.001640	0.001044
737.100000	737.099970	0.001210	0.000032
737.200000	737.199990	0.001210	0.000057
737.300000	737.299970	0.001690	0.000536
737.400000	737.399970	0.001750	0.000640
737.500000	737.499980	0.001390	0.000233
737.600000	737.599940	0.001530	0.000492
737.700000	737.699970	0.001280	0.000290
737.800000	737.799980	0.002810	0.001178
737.900000	737.899980	0.001770	0.000699
738.000000	737.999940	0.001840	0.001302
738.100000	738.099980	0.002150	0.001092
738.200000	738.199980	0.001650	0.000528
738.300000	738.299970	0.002340	0.001749
738.400000	738.399980	0.002890	0.001291
738.500000	738.499980	0.001440	0.000427
738.600000	738.599960	0.001810	0.001159
738.700000	738.699970	0.001670	0.000720
738.800000	738.800000	0.001230	0.000067
738.900000	738.899960	0.001310	0.000321
739.000000	738.999990	0.001750	0.000638
739.100000	739.099960	0.001300	0.000231
739.200000	739.199970	0.001720	0.001018
739.300000	739.299960	0.001910	0.001211
739.400000	739.399990	0.002820	0.001410
739.500000	739.499950	0.001340	0.000341
739.600000	739.599990	0.001540	0.000640
739.700000	739.699980	0.001330	0.000271
739.800000	739.799980	0.001290	0.000218
739.900000	739.899960	0.001510	0.000363
740.000000	739.999960	0.001260	0.000070
740.100000	740.099980	0.001560	0.000759
740.200000	740.200000	0.002780	0.002233
740.300000	740.299940	0.001250	0.000071
740.400000	740.399980	0.001210	0.000032
740.500000	740.499980	0.001560	0.000655
740.600000	740.599950	0.001400	0.000323
740.700000	740.699980	0.001330	0.000170
740.800000	740.799970	0.001870	0.000937
740.900000	740.899970	0.001290	0.000129
741.000000	740.999980	0.002320	0.001156
741.100000	741.099980	0.001950	0.000987
741.200000	741.199980	0.001340	0.000222
741.300000	741.299970	0.001300	0.000249
741.400000	741.399980	0.001370	0.000183
741.500000	741.499960	0.001760	0.000534
741.600000	741.599970	0.002980	0.001376
741.700000	741.699970	0.001350	0.000212
741.800000	741.799970	0.001220	0.000042
741.900000	741.899980	0.002110	0.000689
742.000000	741.999980	0.002830	0.001419
742.100000	742.099990	0.001270	0.000125
742.200000	742.199960	0.001550	0.000387
742.300000	742.299960	0.002730	0.000881
742.400000	742.400000	0.001230	0.000067
742.500000	742.499960	0.001940	0.001261
742.600000	742.599970	0.001330	0.000275
742.700000	742.699980	0.001360	0.000310
742.800000	742.799950	0.001220	0.000042
742.900000	742.899970	0.001210	0.000032
743.000000	742.999980	0.001240	0.000070
743.100000	743.099970	0.001840	0.000825
743.200000	743.199990	0.001600	0.000643
743.300000	743.299980	0.001720	0.000940
743.400000	743.399950	0.001540	0.000619
743.500000	743.499960	0.001580	0.000697
743.600000	743.599980	0.003640	0.001632
743.700000	743.699970	0.001230	0.000067
743.800000	743.799970	0.001240	0.000097
743.900000	743.899980	0.001250	0.000127
744.000000	743.999970	0.001240	0.000052
744.100000	744.099980	0.001260	0.000158
744.200000	744.199980	0.002140	0.001683
744.300000	744.299960	0.001740	0.000587
744.400000	744.399970	0.001840	0.001046
744.500000	744.499980	0.001870	0.000833
744.600000	744.599950	0.001420	0.000294
744.700000	744.699980	0.001430	0.000287
744.800000	744.799980	0.001240	0.000052
744.900000	744.899970	0.001250	0.000158
745.000000	744.999970	0.001220	0.000042
745.100000	745.099980	0.002650	0.001126
745.200000	745.199980	0.001390	0.000354
745.300000	745.299950	0.001210	0.000032
745.400000	745.399970	0.001310	0.000213
745.500000	745.499990	0.001970	0.001545
745.600000	745.599950	0.001650	0.000917
745.700000	745.699970	0.002390	0.001340
