Set_value	Mon_value	Metex	Std
714.000000	713.987850	0.014330	0.001309
714.000000	714.000060	0.017670	0.002616
714.750000	714.750000	0.018600	0.006426
715.500000	715.499910	0.021290	0.002592
716.250000	716.250000	0.014360	0.002824
717.000000	716.999990	0.015660	0.003672
717.750000	717.750000	0.022700	0.005066
718.500000	718.500000	0.020020	0.003121
719.250000	719.250000	0.018960	0.002702
720.000000	719.999910	0.027020	0.004759
720.750000	720.750000	0.024490	0.001955
721.500000	721.500000	0.022870	0.005209
722.250000	722.249980	0.027370	0.005549
723.000000	722.999930	0.029970	0.004827
723.750000	723.749990	0.036040	0.008717
724.500000	724.500000	0.053440	0.011374
725.250000	725.249990	0.068960	0.009009
726.000000	726.000000	0.063850	0.008855
726.750000	726.750010	0.085020	0.011679
727.500000	727.499990	0.083290	0.016389
728.250000	728.250000	0.041660	0.005687
729.000000	728.999910	0.054780	0.002911
729.750000	729.749990	0.065430	0.008460
730.500000	730.500000	0.062350	0.008770
731.250000	731.249900	0.057410	0.008992
732.000000	732.000010	0.107460	0.012204
732.750000	732.749920	0.074510	0.007428
733.500000	733.500000	0.084230	0.010542
734.250000	734.249910	0.107200	0.012410
735.000000	735.000000	0.114520	0.019480
735.750000	735.750000	0.127540	0.021366
736.500000	736.500000	0.126780	0.007759
737.250000	737.249920	0.148560	0.008981
738.000000	737.999920	0.123280	0.009859
